CANAL;SI;CA_SERVICE;VC_SKY;VC_TVRO;TIPO
REDE BRASIL;2416;59,102,174,310,316,362,999;17;;PACOTE
REDE GENESIS HD;5387;59,999;885;;PACOTE
REDE MUNDIAL HD;5142;47,48,59,161,236,489,613,999;585;;PACOTE
REDE SUPER HD;5010;59,999;83;;PACOTE
REDE TV;2102;36,59,102,147,310,316,362,785,901;15;;PACOTE
REDE TV HD;5030;47,48,59,161,236,243,436,489,613,615,999;415;;PACOTE
REDE VIDA;2506;59,102,104,204,310,316,362,442,901;6;;PACOTE
REDE VIDA HD;5092;47,48,59,161,236,436,489,613,999;406;;PACOTE
RIT;1537;36,59,76,102,154,310,316,362,901,999;3;;PACOTE
RTP;1407;59,85,135,909;181;;PACOTE
SABOR & ARTE HD;5364;47,48,59,161,246;495;;PACOTE
SBN;1405;59,999;894;;PACOTE
SBT;5121;59,65,102,154,310,316,362,646,785,901;9;;CANAL ABERTO
SBT EM BRASILIA;1419;59,65,102,154,310,316,362,643,785,901;9;;CANAL ABERTO
SBT EM BRASILIA HD;6409;48,59,61,161,236,243,489,613,615,643;409;;CANAL ABERTO
SBT EM SAO PAULO;1420;59,65,102,154,310,316,362,641,785,901;9;;CANAL ABERTO
SBT EM SAO PAULO HD;1708;48,59,61,161,236,243,489,613,615,641;409;;CANAL ABERTO
SBT HD;5563;48,59,61,161,236,243,489,613,615,646;409;;CANAL ABERTO
SBT NEWS HD;5225;47,59,161,236,613,615,999;580;;PACOTE
SBT NO PARA;5498;59,65,102,154,310,316,362,645,785,901;9;;CANAL ABERTO
SBT NO PARA HD;5381;48,59,61,161,236,243,489,613,615,645;409;;CANAL ABERTO
SBT NO RIO;1547;59,65,102,154,310,316,362,642,785,901;9;;CANAL ABERTO
SBT NO RIO GRANDE;5134;59,61,644;9;;CANAL ABERTO
SBT NO RIO GRANDE HD;5365;59,61,644;409;;CANAL ABERTO
SBT NO RIO HD;1809;48,59,61,161,236,243,489,613,615,642;409;;CANAL ABERTO
SEX PRIVE;1514;33,34,58,853;274;;PACOTE
SEX PRIVE HD;6105;58,164;277;;PACOTE
SEXY HOT;2410;58,115;270;;PACOTE
SKY 221;2504;59,405,412;221;;PACOTE
SKY 222;2618;59,405,412;222;;PACOTE
SKY 228;2512;59,405,412;228;;PACOTE
SKY 234;1408;59,153,782;234;;PACOTE
SKY 235;2420;59,153,782;235;;PACOTE
SKY 236;2404;59,153,782;236;;PACOTE
SKY 237;1516;59,153,782;237;;PACOTE
SKY 238;2414;59,153,782;238;;PACOTE
SKY 239;1307;59,153,782;239;;PACOTE
SKY 240;1515;59,153,782;240;;PACOTE
SKY 621 HD;5009;59,405,412;621;;PACOTE
SKY 622 HD;5207;59,405,412;622;;PACOTE
SKY 628 HD;5162;59,405,412;628;;PACOTE
SKY 634 HD;1710;59,248,249,300,301;634;;PACOTE
SKY 635 HD;1805;59,248,249,300,301;635;;PACOTE
SKY 636 HD;6102;59,248,249,300,301;636;;PACOTE
SKY 637 HD;6408;59,248,249,300,301;637;;PACOTE
SKY 638 HD;6404;59,248,249,300,301;638;;PACOTE
SKY 639 HD;6112;59,248,249,300,301;639;;PACOTE
SKY 640 HD;6406;59,248,249,300,301;640;;PACOTE
SKY 850 POS SD;2910;59,102;850;;CARTELA/MOSAICO
SKY 851 PRE SD;2114;59,310,316;851;;CARTELA/MOSAICO
SKY NEWS HD;5441;59,161,455;574;;CARTELA/MOSAICO
SKY PRE PAGO LIVRE;2438;59,60,102,139,154,310,316,901;874;;CARTELA/MOSAICO
SKY PRE PAGO LIVRE;2439;59,60,102,139,154,310,316,901;874;;CARTELA/MOSAICO
SKY PRE PAGO LIVRE;2440;59,60,102,139,154,310,316,901;874;;CARTELA/MOSAICO
SKY RADIOS;9057;59,60,102,139,154,310,316,901;775;;RADIO
SONY CHANNEL;2214;41,59,117,901;137;;PACOTE
SONY CHANNEL HD;5208;48,59,161,460;537;;PACOTE
SONY MOVIES;5493;59,98,107,901;135;;PACOTE
SONY MOVIES HD;5423;47,59,161,436,459;535;;PACOTE
SPACE;2911;59,109,530,902;110;;PACOTE
SPACE HD;5361;48,59,161,465;510;;PACOTE
SPORTV;1318;59,82,93,442;39;;PACOTE
SPORTV 2;1317;59,90,93;38;;PACOTE
SPORTV 2 HD;1902;48,59,161,477,478;438;;PACOTE
SPORTV 3;1501;59,82,93,442;37;;PACOTE
SPORTV 3 HD;1903;47,59,161,237,442;437;;PACOTE
SPORTV HD;5562;48,59,161,442,477;439;;PACOTE
SPORTYNET;2502;59,82,93;202;;PACOTE
SPORTYNET HD;5421;48,59,161,477;602;;PACOTE
SPORTYNET+;2519;59,405,412;220;;PACOTE
SPORTYNET+ HD;5166;59,405,412;620;;PACOTE
STUDIO UNIVERSAL;2814;59,155,901;111;;PACOTE
STUDIO UNIVERSAL HD;5204;47,48,59,161,242,243,436,442,451;511;;PACOTE
TELECINE ACTION;2907;59,102,127,210,316,1179;101;;PACOTE
TELECINE ACTION HD;5014;59,102,162,316;501;;PACOTE
TELECINE CULT;2610;59,102,127,213,316,1179;105;;PACOTE
TELECINE CULT HD;5323;59,102,162,316,486;505;;PACOTE
TELECINE FUN;2808;59,102,127,316,552;104;;PACOTE
TELECINE FUN HD;5101;59,102,162,316;504;;PACOTE
TELECINE PIPOCA;2905;59,102,127,212,316,1179;103;;PACOTE
TELECINE PIPOCA HD;5102;59,102,162,316;503;;PACOTE
TELECINE PREMIUM;2612;59,102,127,209,316,1179;100;;PACOTE
TELECINE PREMIUM HD;5008;59,102,162,316;500;;PACOTE
TELECINE TOUCH;2115;59,102,127,211,316,552,1179;102;;PACOTE
TELECINE TOUCH HD;5408;59,102,162,316,483;502;;PACOTE
TERRA VIVA;2432;59,60,75,102,139,154,310,316,362;163;;PACOTE
TERRA VIVA HD;1909;47,48,59,161,236,436,489,613,999;563;;PACOTE
TESTE DIP 999;3193;47,59,161,442,480;999;;CARTELA/MOSAICO
TESTE DIP1 997;3191;59,102,127,316,552;997;;CARTELA/MOSAICO
TESTE DIP2 998;3192;59,113,121,924;998;;CARTELA/MOSAICO
TLC;2133;40,59,96,902;86;;PACOTE
TLC HD;5163;59,161,467,588;486;;PACOTE
TNT;2809;59,103,372,901;108;;PACOTE
TNT HD;5048;48,59,161,466;508;;PACOTE
TNT NOVELAS;1511;59,130,901;155;;PACOTE
TNT NOVELAS HD;6107;47,48,59,161,242,243,451;552;;PACOTE
TNT SERIES;2812;59,113,121,924;150;;PACOTE
TNT SERIES HD;5205;48,59,161,451,452;550;;PACOTE
TRAVEL BOX BRAZIL;2514;59,111,143,158;83;;PACOTE
TRAVEL BOX BRAZIL HD;5342;59,83,129,161,467,471,576,611;483;;PACOTE
TV APARECIDA;2216;59,102,177,310,316,362,999;11;;PACOTE
TV APARECIDA HD;1911;47,48,59,161,236,489,613,999;912;;PACOTE
TV ARTES;2614;59,77,102,203,316,362,999;82;;PACOTE
TV BRASIL;1402;36,59,102,146,310,316,362,999;23;;PACOTE
TV CAMARA;1508;43,59,80,102,310,316,362,912,999;22;;PACOTE
TV CAMARA DISTRITAL;1403;59,102,310,316,362;29;;PACOTE
TV CENTRO SUL CEARA;5043;59,999;908;;PACOTE
TV CIDADANIA;1643;59,102,161,310,316;27;;PACOTE
TV COMUNITARIA;2801;59,102,310,316,362,496,912;28;;PACOTE
TV CRISTA MARANATA;5027;47,48,59,161,236,489,613,999;587;;PACOTE
TV CULTURA;1611;59,77,102,203,310,316,362,901,999;2;;PACOTE
TV CULTURA HD;1704;47,48,59,161,236,489,613,999;402;;PACOTE
TV DIARIO FORTALEZA;5184;59,999;892;;PACOTE
TV ESPANHA;1616;59,86,135,909;179;;PACOTE
TV EVANGELIZAR;1906;47,48,59,161,236,489,613,999;586;;PACOTE
TV FELIZ HD;5090;59,999;-;;PACOTE
TV GAZETA;5442;47,48,59,161,236,489,613,999;575;;PACOTE
TV HORIZONTE;5186;59,999;881;;PACOTE
TV IMACULADA HD;5023;59,999;896;;PACOTE
TV INFINITO;6412;59,999;889;;PACOTE
TV JUSTICA;2112;44,59,102,310,316,362,999;24;;PACOTE
TV MILAGRO HD;5590;47,48,59,161,236,436,489,613,999;890;;PACOTE
TV NOVO TEMPO;5489;59,74,102,310,316,362,442;31;;PACOTE
TV NOVO TEMPO HD;5523;47,48,59,161,236,436,489,613,999;431;;PACOTE
TV PAI ETERNO;2204;59,77,102,310,316,362,999;18;;PACOTE
TV PARANA TURISMO;1314;59,999;906;;PACOTE
TV SENADO;2201;59,102,310,316,362,421,912,999;26;;PACOTE
TV VERDADE HD;5170;59,999;883;;PACOTE
TV5;1311;59,87,134,135,902,909;178;;PACOTE
ULTRAFARMA;5286;59,999;910;;PACOTE
UNIVERSAL TV;2209;59,118,208,901;140;;PACOTE
UNIVERSAL TV HD;5324;47,59,161,442,480;540;;PACOTE
UNIVESP TV;5495;59,77,102,203,310,316,362,999;75;;PACOTE
USA;2109;59,553,924;142;;PACOTE
USA HD;5582;47,59,161,243,256;542;;PACOTE
VIVAX TV;5284;59,999;904;;PACOTE
WARNER CHANNEL;1077;59,117,205,901;139;;PACOTE
WARNER CHANNEL HD;5203;48,59,161,457;539;;PACOTE
WOOHOO ESPORTES;5446;59,999;901;;PACOTE
XSPORTS TV;2515;43,59,80,102,310,316,362,912,999;16;;PACOTE
XSPORTS TV HD;5328;47,48,59,161,236,489,613,999;416;;PACOTE
