Canal;SI;CA_Service
GLOBO INTER TV ALTO LITORAL HD ;5021;59,61,564
GLOBO INTER TV CABUGI ;1609;59,61,560
GLOBO INTER TV CABUGI HD ;1703;59,61,560
GLOBO INTER TV DOS VALES ;5243;59,61,599
GLOBO INTER TV DOS VALES HD ;5005;59,61,599
GLOBO INTER TV GRANDE MINAS ;2206;59,61,216
GLOBO INTER TV SERRA+MAR ;2818;59,61,565
GLOBO INTER TV SERRA+MAR HD ;5146;59,61,565
GLOBO ITAPETININGA HD ;5403;59,61,214
GLOBO NSC BLUMENAU ;2829;59,61,566
GLOBO NSC BLUMENAU HD ;5047;59,61,566
GLOBO NSC FLORIANOPOLIS ;5246;59,61,600
GLOBO NSC FLORIANOPOLIS HD ;5085;59,61,600
GLOBO NSC JOINVILLE ;5481;59,61,567
GLOBO NSC JOINVILLE HD ;5407;59,61,567
GLOBO NSC TV CENTRO OESTE ;5123;59,61,605
GLOBO NSC TV CENTRO OESTE HD ;5261;59,61,605
GLOBO NSC TV CHAPECO ;5136;59,61,606
GLOBO NSC TV CHAPECO HD ;5265;59,61,606
GLOBO NSC TV CRICIUMA ;5251;59,61,607
GLOBO NSC TV CRICIUMA HD ;5003;59,61,607
GLOBO RBS TV CAXIAS DO SUL ;5133;59,61,628
GLOBO RBS TV CAXIAS DO SUL HD ;5109;59,61,628
GLOBO RBS TV PASSO FUNDO ;2807;59,61,627
GLOBO RBS TV PASSO FUNDO HD ;5161;59,61,627
GLOBO RBS TV PELOTAS ;5135;59,61,626
GLOBO RBS TV PELOTAS HD ;5108;59,61,626
GLOBO RBS TV POA ;2104;59,61,533
GLOBO RBS TV POA HD ;5064;59,61,533
GLOBO RBS TV SANTA CRUZ ;2508;59,61,625
GLOBO RBS TV SANTA CRUZ HD ;5583;59,61,625
GLOBO RBS TV SANTA MARIA ;2507;59,61,629
GLOBO RBS TV SANTA MARIA HD ;5322;59,61,629
GLOBO RECIFE ;2903;59,61,556
GLOBO RECIFE HD ;5321;59,61,556
GLOBO REDE AMAZONICA ;2901;59,61,559
GLOBO REDE AMAZONICA BOA VISTA ;2601;59,61,618
GLOBO REDE AMAZONICA BOA VISTA HD ;5045;59,61,618
GLOBO REDE AMAZONICA HD ;5589;59,61,559
GLOBO REDE AMAZONICA MACAPA ;2603;59,61,619
GLOBO REDE AMAZONICA MACAPÁ HD ;5404;59,61,619
GLOBO REDE AMAZONICA P.VELHO ;2613;59,61,620
GLOBO REDE AMAZONICA P.VELHO HD ;5302;59,61,620
GLOBO REDE AMAZONICA R BRANCO ;2117;59,61,621
GLOBO REDE AMAZONICA R BRANCO HD ;5147;59,61,621
GLOBO RJ ;1320;59,61,531
GLOBO RJ HD  ;5061;59,61,531
GLOBO RPC CASCAVEL ;5611;59,61,630
GLOBO RPC CASCAVEL HD ;5148;59,61,630
GLOBO RPC CURITIBA ;1503;59,61,544
GLOBO RPC CURITIBA HD ;1904;59,61,544
GLOBO RPC FOZ DO IGUACU ;2407;59,61,634
GLOBO RPC FOZ IGUACU HD ;1107;59,61,634
GLOBO RPC LONDRINA ;5613;59,61,632
GLOBO RPC LONDRINA HD ;5268;59,61,632
GLOBO RPC MARINGA ;2908;59,61,609
GLOBO RPC MARINGA HD ;5089;59,61,609
GLOBO RPC PONTA GROSSA ;5637;59,61,633
GLOBO RPC PONTA GROSSA HD ;5181;59,61,633
GLOBO SP ;1635;59,61,543
GLOBO SP HD  ;5561;59,61,543
